,Body,Passengers,Interior,Exterior,Wheels,Tires,Fuel,Basic,Powertrain,Engine,Horsepower,Transmission,Stock,VIN,Year,Make Model,Mileage,Highway,City,Price,Brand,Model,Liters,Cylinder,HP,TransType
"https://www.carvana.com/search/2000232186/2017-hyundai-se-sport-utility-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",SUV,5.0,Caribbean Blue,Gray,17 Alloy wheels,225-65,Gas,"60 mo. / 60,000 mi.; 39 mos. 41,800 mi. left","60 mo. / 60,000 mi.; 39 mos. 41,800 mi. left",2.0L I4,164 hp / 151 ft-lbs. torque,"Auto, 6-Spd Shiftronic",2000232186,KM8J3CA42HU259488,2017,Hyundai Tucson,17946,26,21,19500,Hyundai,Tucson,2.0L,I4,164,auto
"https://www.carvana.com/search/2000230337/2017-chevrolet-premier-sport-utility-4d-?sri=dff7cc91-3a88-43f7-a05e-09c39083ea8d
",SUV,5.0,Patriot Blue Metallic,BLACK,18 Alloy wheels,235-55,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 33 mos. 19,600 mi. left",Ecotec 2.4L I4,182 hp / 172 ft-lbs. torque,"Auto, 6-Spd w/OD",2000230337,2GNALDEK7H1533970,2017,Chevrolet Equinox,40113,32,22,18600,Chevrolet,Equinox,Ecotec,2.4L I4,182,auto
"https://www.carvana.com/search/2000232213/2016-buick-convenience-group-sedan-4d-?sri=dff7cc91-3a88-43f7-a05e-09c39083ea8d
",Sedan,5.0,GRAY,GRAY,18 Alloy wheels,235-45,Gas,"48 mo. / 50,000 mi.; 9 mos. 16,500 mi. left","72 mo. / 70,000 mi.; 33 mos. 36,500 mi. left",Ecotec 2.4L I4,180 hp / 171 ft-lbs. torque,"Auto, 6-Spd w/Shft Ctrl",2000232213,1G4PR5SK4G4120768,2016,Buick Verano,33287,32,21,14400,Buick,Verano,Ecotec,2.4L I4,180,auto
"https://www.carvana.com/search/2000232071/2017-toyota-xle-sedan-4d-?sri=dff7cc91-3a88-43f7-a05e-09c39083ea8d
",Sedan,5.0,WHITE,BEIGE,17 Alloy wheels,215-55,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 39 mos. 16,500 mi. left",2.5L I4,178 hp / 170 ft-lbs. torque,"Auto, 6-Spd SeqShft",2000232071,4T1BF1FK9HU789738,2017,Toyota Camry,43211,33,24,17200,Toyota,Camry,2.5L,I4,178,auto
"https://www.carvana.com/search/2000230936/2016-buick-sedan-4d-?sri=dff7cc91-3a88-43f7-a05e-09c39083ea8d
",Sedan,5.0,Mocha Bronze Metallic,Cashmere,17 Alloy wheels,225-50,Gas,"48 mo. / 50,000 mi.; 12 mos. 21,100 mi. left","72 mo. / 70,000 mi.; 36 mos. 41,100 mi. left",Ecotec 2.4L I4,180 hp / 171 ft-lbs. torque,"Auto, 6-Spd w/Shft Ctrl",2000230936,1G4PP5SK6G4128828,2016,Buick Verano,28686,32,21,13700,Buick,Verano,Ecotec,2.4L I4,180,auto
"https://www.carvana.com/search/2000231078/2017-kia-wagon-4d-?sri=dff7cc91-3a88-43f7-a05e-09c39083ea8d
",Wagon,5.0,BLACK,Black,17 Alloy wheels,215-55,Gas,"60 mo. / 60,000 mi.; 32 mos. 16,800 mi. left","60 mo. / 60,000 mi.; 32 mos. 16,800 mi. left",2.0L I4,161 hp / 150 ft-lbs. torque,"Auto, 6-Spd Sportmatic",2000231078,KNDJP3A57H7418392,2017,Kia Soul,42932,30,25,13800,Kia,Soul,2.0L,I4,161,auto
"https://www.carvana.com/search/2000229979/2016-volkswagen-2.0t-r-line-sport-utility-4d-?sri=dff7cc91-3a88-43f7-a05e-09c39083ea8d
",SUV,5.0,Night Blue Metallic,BLACK,19 Alloy wheels,255-40,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 20 mos. 22,500 mi. left",2.0L Turbo I4,200 hp / 207 ft-lbs. torque,"Auto, 6-Spd Tiptronic Spt",2000229979,WVGAV7AXXGW026487,2016,Volkswagen Tiguan,37276,26,21,17100,Volkswagen,Tiguan,2.0L,Turbo I4,200,auto
"https://www.carvana.com/search/2000231980/2017-gmc-sle-2-sport-utility-4d-?sri=dff7cc91-3a88-43f7-a05e-09c39083ea8d
",SUV,7.0,Dark Sapphire Blue Metallic,Jet Black,18 Alloy wheels,235-65,Gas,"36 mo. / 36,000 mi.; 6 mos. 10,500 mi. left","60 mo. / 60,000 mi.; 30 mos. 34,500 mi. left",3.6L V6,310 hp / 271 ft-lbs. torque,"Automatic, 6-Spd",2000231980,1GKKNSLS8HZ137282,2017,GMC Acadia,25229,28,22,27000,GMC,Acadia,3.6L,V6,310,auto
"https://www.carvana.com/search/2000215040/2017-nissan-sv-sedan-4d-?sri=dff7cc91-3a88-43f7-a05e-09c39083ea8d
",Sedan,5.0,Brilliant Silver,Charcoal,15 Steel with hub caps,185-65,Gas,"36 mo. / 36,000 mi.; 14 mos. 7,300 mi. left","60 mo. / 60,000 mi.; 38 mos. 31,300 mi. left",1.6L I4,109 hp / 107 ft-lbs. torque,"Auto, CVT w/Xtronic",2000215040,3N1CN7APXHK439927,2017,Nissan Versa,28473,39,31,12500,Nissan,Versa,1.6L,I4,109,auto
"https://www.carvana.com/search/2000231881/2015-ford-sel-sedan-4d-?sri=dff7cc91-3a88-43f7-a05e-09c39083ea8d
",Sedan,5.0,Magnetic Metallic,Charcoal Black,18 Alloy wheels,235-55,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 18 mos. 15,200 mi. left",3.5L V6,288 hp / 254 ft-lbs. torque,"Automatic, 6-Spd",2000231881,1FAHP2H87FG181608,2015,Ford Taurus,44509,26,18,16400,Ford,Taurus,3.5L,V6,288,auto
