Sedan,5,White Orchid Pearl,Black,18 Alloy wheels,235 40 tires,Gas,"36 mo. / 36,000 mi.; 25 mos. 30,600 mi. left","60 mo. / 60,000 mi.; 49 mos. 54,600 mi. left",1.5L Turbo I4,205 hp / 192 ft-lbs. torque,"Manual, 6-Spd",2000226738,2HGFC1E59JH701727,2018,Honda Civic,"5,143 miles","38
HWY","28
CITY","$25,500"
SUV,5,Night Blue Metallic,Sandstone Beige,16 Alloy wheels,215 65 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 23 mos. 29,600 mi. left",2.0L Turbo I4,200 hp / 207 ft-lbs. torque,"Auto, 6-Spd Tiptronic Spt",2000223208,WVGBV7AX2GW562483,2016,Volkswagen Tiguan,"30,184 miles","26
HWY","20
CITY","$15,200"
Wagon,5,Glacier White,Charcoal,17 Alloy wheels,225 65 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 23 mos. 15,500 mi. left",2.5L I4,170 hp / 175 ft-lbs. torque,"Auto, CVT Xtronic",2000226970,KNMAT2MV8GP614969,2016,Nissan Rogue,"44,257 miles","32
HWY","25
CITY","$16,400"
Hatchback,5,Sonic Silver Metallic,Black,18 Alloy wheels,215 45 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 37 mos. 12,500 mi. left",SKYACTIV-G 2.0L I4,155 hp / 150 ft-lbs. torque,"Auto, 6-Spd SKYACTIV-Drv",2000226701,3MZBN1L73HM126903,2017,Mazda MAZDA3,"47,248 miles","37
HWY","28
CITY","$15,700"
Coupe,5,WHITE,BLACK,20 Alloy wheels,245 45 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 100,000 mi.; 16 mos. 78,700 mi. left",HEMI 6.4L V8,485 hp / 475 ft-lbs. torque,"Automatic, 8-Spd",2000228236,2C3CDZFJ3FH877287,2015,Dodge Challenger,"21,022 miles","25
HWY","15
CITY","$32,500"
Coupe,5,SILVER,BLACK,20 Alloy wheels,245 45 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 100,000 mi.; 21 mos. 69,500 mi. left",Pentastar 3.6L V6,305 hp / 268 ft-lbs. torque,"Automatic, 8-Spd",2000225711,2C3CDZBG8FH889266,2015,Dodge Challenger,"30,245 miles","30
HWY","19
CITY","$20,900"
SUV,5,Barcelona Red Metallic,Nutmeg,17 Alloy wheels,225 65 tires,Gas,"36 mo. / 36,000 mi.; 21 mos. 26,100 mi. left","60 mo. / 60,000 mi.; 45 mos. 50,100 mi. left",2.5L I4,176 hp / 172 ft-lbs. torque,"Automatic, 6-Spd",2000201599,2T3WFREVXHW383793,2017,Toyota RAV4,"9,683 miles","30
HWY","23
CITY","$22,200"
Sedan,5,Aurora Black Pearl,Gray,15 Alloy wheels,195 65 tires,Gas,"60 mo. / 60,000 mi.; 31 mos. 36,500 mi. left","60 mo. / 60,000 mi.; 31 mos. 36,500 mi. left",1.8L I4,145 hp / 130 ft-lbs. torque,"Auto, 6-Spd w/Sportmatic & Active ECO System",2000230873,KNAFK4A65G5540016,2016,Kia Forte,"23,288 miles","39
HWY","26
CITY","$12,400"
Sedan,5,Snow White Pearl,Beige,17 Alloy wheels,215 55 tires,Gas,"60 mo. / 60,000 mi.; 13 mos. 15,600 mi. left","60 mo. / 60,000 mi.; 13 mos. 15,600 mi. left",2.4L I4,192 hp / 181 ft-lbs. torque,"Auto, 6-Spd Sportmatic",2000230868,5XXGN4A77FG434832,2015,Kia Optima,"44,178 miles","24
HWY","23
CITY","$15,400"
SUV,5,Chromium Silver,Beige,19 Alloy wheels,245 45 tires,Gas,"60 mo. / 60,000 mi.; 34 mos. 39,600 mi. left","60 mo. / 60,000 mi.; 34 mos. 39,600 mi. left",1.6L Turbo I4,175 hp / 195 ft-lbs. torque,"Auto, 7-Spd EcoShift",2000232825,KM8J33A25HU274243,2017,Hyundai Tucson,"20,178 miles","30
HWY","25
CITY","$19,000"
Sedan,5,OTHER,BEIGE,16 Steel with hub caps,215 55 tires,Gas,"36 mo. / 36,000 mi.; 5 mos. 14,300 mi. left","60 mo. / 60,000 mi.; 29 mos. 38,300 mi. left",2.0L I4,158 hp / 138 ft-lbs. torque,"Automatic, CVT",2000228713,19XFC2F51GE227117,2016,Honda Civic,"21,499 miles","41
HWY","31
CITY","$16,500"
,,,,,,,,,,,,,,2015,Nissan Titan Crew Cab,"36,516 miles",,,"$26,600"
Sedan,5,Phantom Black,Black,17 Alloy wheels,215 55 tires,Gas,"60 mo. / 60,000 mi.; 27 mos. 16,900 mi. left","60 mo. / 60,000 mi.; 27 mos. 16,900 mi. left",2.4L I4,185 hp / 178 ft-lbs. torque,"Auto, 6-Spd w/Shiftronic & Drive Mode Select",2000239830,5NPE34AFXGH411961,2016,Hyundai Sonata,"42,828 miles","36
HWY","25
CITY","$17,200"
Sedan,5,Chestnut Bronze,Graphite,17 Alloy wheels,225 55 tires,Gas,"48 mo. / 60,000 mi.; 8 mos. 27,600 mi. left","72 mo. / 70,000 mi.; 32 mos. 37,600 mi. left",3.7L V6,328 hp / 269 ft-lbs. torque,"Auto, 7-Spd Rev Match",2000241078,JN1BV7AR1FM413842,2015,INFINITI Q50,"32,185 miles","27
HWY","19
CITY","$21,100"
,,,,,,,,,,,,,,2016,Chrysler 200,"27,387 miles",,,"$14,900"
,,,,,,,,,,,,,,2014,Dodge Journey,"67,613 miles",,,"$12,200"
,,,,,,,,,,,,,,2015,Toyota Tundra CrewMax,"41,634 miles",,,"$28,500"
,,,,,,,,,,,,,,2017,Nissan Altima,"27,289 miles",,,"$16,700"
Sedan,5,Deep Sea Blue,Black,14 Alloy wheels,195 65 tires,Gas,"60 mo. / 60,000 mi.; 52 mos. 48,700 mi. left","60 mo. / 60,000 mi.; 52 mos. 48,700 mi. left",2.0L I4,147 hp / 132 ft-lbs. torque,"Automatic, 6-Spd w/Sportmatic",2000239725,3KPFK4A79JE238381,2018,Kia Forte,"11,046 miles","37
HWY","29
CITY","$14,300"
,,,,,,,,,,,,,,2018,Toyota Tacoma Double Cab,"14,655 miles",,,"$30,400"
Sedan,5,SILVER,Black,17 Alloy wheels,225 45 tires,Gas,"48 mo. / 50,000 mi.; Expired","48 mo. / 50,000 mi.; Expired",2.0L Turbo I4,220 hp / 258 ft-lbs. torque,"Auto, 6-Spd S Tronic",2000231233,WAUBFGFF5F1007974,2015,Audi A3,"34,187 miles","33
HWY","24
CITY","$21,000"
Sedan,5,Snow White Pearl,Beige,17 Alloy wheels,215 55 tires,Gas,"60 mo. / 60,000 mi.; 25 mos. 35,700 mi. left","60 mo. / 60,000 mi.; 25 mos. 35,700 mi. left",2.4L I4,185 hp / 178 ft-lbs. torque,"Auto, 6-Spd Sportmatic",2000220989,5XXGT4L37GG035503,2016,Kia Optima,"24,011 miles","37
HWY","25
CITY","$14,300"
Sedan,5,Liquid Platinum,Black,18 Alloy wheels,235 45 tires,Gas,"48 mo. / 50,000 mi.; Expired","72 mo. / 70,000 mi.; Expired",3.5L V6,306 hp / 277 ft-lbs. torque,"Automatic, 6-Spd",2000203432,JTHCE1BL1D5010751,2013,Lexus GS,"58,033 miles","26
HWY","19
CITY","$21,600"
SUV,5,Frost White Pearl,Gray,17 Alloy wheels,235 65 tires,Gas,"60 mo. / 60,000 mi.; 22 mos. 31,300 mi. left","60 mo. / 60,000 mi.; 22 mos. 31,300 mi. left",2.4L I4,190 hp / 181 ft-lbs. torque,"Auto, 6-Spd Shiftronic",2000228006,5XYZTDLB1GG351197,2016,Hyundai Santa Fe Sport,"28,432 miles","25
HWY","19
CITY","$17,400"
Sedan,5,Phantom Black,Black,17 Alloy wheels,215 55 tires,Gas,"60 mo. / 60,000 mi.; 27 mos. 16,900 mi. left","60 mo. / 60,000 mi.; 27 mos. 16,900 mi. left",2.4L I4,185 hp / 178 ft-lbs. torque,"Auto, 6-Spd w/Shiftronic & Drive Mode Select",2000239830,5NPE34AFXGH411961,2016,Hyundai Sonata,"42,828 miles","36
HWY","25
CITY","$17,200"
,,,,,,,,,,,,,,2016,Chevrolet Malibu,"45,129 miles",,,"$15,100"
SUV,7,Midnight Garnet,Graphite,18 Alloy wheels,235 65 tires,Gas,"48 mo. / 60,000 mi.; 11 mos. 10,800 mi. left","72 mo. / 70,000 mi.; 35 mos. 20,800 mi. left",3.5L V6,265 hp / 248 ft-lbs. torque,"Auto, CVT Manual Spt",2000243644,5N1AL0MNXFC558877,2015,INFINITI QX60,"48,989 miles","27
HWY","21
CITY","$23,400"
